project_index,project,number_of_images
1,12-Maisonneuve Market,394
2,4-Thomas-More-Church,158
3,Brasov,888
4,Changu,1048
5,Chatteau_circle_60_and_45_degrees,44
6,DJI_202402171501_006_KTM20-oblique,478
7,Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,160
8,Pix4d_forensic,69
9,Telc_sv_Jakub_March_18,212
10,Tiburon_Angel_Islands_State_Park_Split_group_3,304
11,morice,246
12,uncovice,956
