project_index,project,final_psnr_delta,repeat_psnr_delta,repeat_minus_final_psnr_delta,final_ssim_delta,repeat_ssim_delta,repeat_minus_final_ssim_delta,final_lpips_improvement,repeat_lpips_improvement,repeat_minus_final_lpips_improvement,final_gaussian_cap_reached,repeat_gaussian_cap_reached
1,12-Maisonneuve Market,-0.12294578552246094,0.14977073669433594,0.2727165222167969,0.0022022128105163574,0.004471480846405029,0.002269268035888672,0.0065077245235443115,0.009920120239257812,0.003412395715713501,false,false
2,4-Thomas-More-Church,-0.36363792419433594,-0.8625946044921875,-0.49895668029785156,0.003063976764678955,-0.010377585887908936,-0.01344156265258789,0.002403765916824341,-0.014901161193847656,-0.017304927110671997,false,false
3,Brasov,0.00595855712890625,0.1405773162841797,0.13461875915527344,0.013269782066345215,0.013355016708374023,8.52346420288086e-05,0.025440022349357605,0.02458435297012329,-0.000855669379234314,false,false
4,Changu,0.09728813171386719,0.1948394775390625,0.09755134582519531,0.02205979824066162,0.02337700128555298,0.0013172030448913574,0.05155995488166809,0.05355197191238403,0.0019920170307159424,false,false
5,Chatteau_circle_60_and_45_degrees,0.429351806640625,0.27835845947265625,-0.15099334716796875,0.08635121583938599,0.0855225920677185,-0.0008286237716674805,0.19722318649291992,0.19708865880966187,-0.00013452768325805664,false,false
6,DJI_202402171501_006_KTM20-oblique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true
7,Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,0.26624298095703125,0.13977813720703125,-0.12646484375,0.024447381496429443,0.02406257390975952,-0.0003848075866699219,0.05712920427322388,0.05705231428146362,-7.68899917602539e-05,false,false
8,Pix4d_forensic,1.1160240173339844,1.1735820770263672,0.05755805969238281,0.15125340223312378,0.1491379737854004,-0.0021154284477233887,0.23509684205055237,0.2337634265422821,-0.0013334155082702637,false,false
9,Telc_sv_Jakub_March_18,-0.03760337829589844,0.2646484375,0.30225181579589844,0.03105705976486206,0.03497517108917236,0.003918111324310303,0.07105967402458191,0.07518279552459717,0.004123121500015259,false,false
10,Tiburon_Angel_Islands_State_Park_Split_group_3,0.14127731323242188,-0.03401947021484375,-0.17529678344726562,0.03605008125305176,0.036303162574768066,0.0002530813217163086,0.0737471878528595,0.0737987756729126,5.1587820053100586e-05,false,false
11,morice,0.9802341461181641,0.928741455078125,-0.05149269104003906,0.05804014205932617,0.05764895677566528,-0.00039118528366088867,0.10566055774688721,0.10537928342819214,-0.00028127431869506836,false,false
12,uncovice,0.2772979736328125,-0.0416412353515625,-0.318939208984375,0.04328376054763794,0.04071354866027832,-0.002570211887359619,0.09310722351074219,0.08641991019248962,-0.0066873133182525635,false,false
